City,State,Zipcodes
Houston,TX,"77004, 77006, 77007, 77008, 77009, 77010, 77011, 77012, 77013, 77014, 77016, 77017, 77018, 77019, 77020, 77021, 77022, 77023, 77024, 77025, 77026, 77027, 77028, 77030, 77031, 77032, 77033, 77034, 77035, 77036, 77037, 77038, 77040, 77041, 77042, 77043, 77044, 77045, 77046, 77047, 77048, 77050, 77051, 77053, 77054, 77055, 77056, 77057, 77058, 77059, 77060, 77061, 77062, 77063, 77064, 77066, 77067, 77068, 77069, 77070, 77071, 77072, 77073, 77074, 77075, 77076, 77077, 77078, 77079, 77080, 77081, 77082, 77084, 77085, 77086, 77087, 77088, 77089, 77090, 77091, 77092, 77093, 77094, 77095, 77096, 77098, 77099, 77201, 77339, 77345, 77598"
Indianapolis,IN,"46201, 46202, 46203, 46204, 46205, 46208, 46214, 46217, 46218, 46220, 46221, 46222, 46225, 46228, 46231, 46234, 46235, 46237, 46239, 46241, 46250, 46254, 46259, 46268, 46278"
Irvine,CA,"92602, 92603, 92604, 92606, 92612, 92614, 92617, 92618, 92620"
Jackson,MS,"39174, 39201, 39202, 39203, 39204, 39206, 39209, 39211, 39212, 39213, 39216, 39217, 39269"
Jacksonville,FL,"32202, 32204, 32205, 32206, 32207, 32208, 32209, 32210, 32211, 32212, 32216, 32217, 32218, 32219, 32220, 32221, 32222, 32223, 32224, 32225, 32226, 32227, 32228, 32234, 32244, 32246, 32254, 32256, 32257, 32258, 32277"
Kansas City,MO,"64101, 64102, 64105, 64106, 64108, 64109, 64110, 64111, 64112, 64113, 64114, 64116, 64117, 64118, 64119, 64120, 64123, 64124, 64125, 64126, 64127, 64128, 64129, 64130, 64131, 64132, 64134, 64136, 64137, 64138, 64139, 64145, 64146, 64147, 64149, 64151, 64152, 64153, 64154, 64155, 64156, 64157, 64158, 64164, 64165, 64166, 64167, 64192"
Knoxville,TN,"37902, 37909, 37912, 37914, 37915, 37916, 37917, 37918, 37919, 37920, 37921, 37922, 37923, 37931"
Lakeland,FL,"33801, 33803, 33805, 33809, 33810, 3381"
Las Vegas,NV,"89101, 89102, 89106, 89107, 89108, 89110, 89117, 89128, 89129, 89130, 89131, 89134, 89138, 89143, 89144, 89145, 89146, 89149, 89166"
Little Rock,AR,"72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227"
Long Beach,CA,"90802, 90803, 90804, 90805, 90806, 90807, 90808, 90810, 90813, 90814, 90815, 90822, 90831"
Los Angeles,CA,"90002, 90003, 90004, 90005, 90006, 90007, 90008, 90010, 90011, 90012, 90013, 90014, 90015, 90016, 90017, 90018, 90019, 90020, 90021, 90023, 90024, 90025, 90026, 90027, 90028, 90029, 90031, 90032, 90033, 90034, 90035, 90036, 90037, 90038, 90039, 90041, 90042, 90043, 90044, 90045, 90046, 90047, 90048, 90049, 90057, 90058, 90059, 90061, 90062, 90064, 90065, 90066, 90067, 90068, 90071, 90077, 90079, 90089, 90094, 90248, 90272, 90291, 90292, 90293, 90710, 90731, 90732, 90744, 91040, 91042, 91303, 91304, 91306, 91307, 91311, 91316, 91324, 91325, 91326, 91330, 91331, 91335, 91342, 91343, 91344, 91345, 91352, 91356, 91364, 91367, 91401, 91402, 91403, 91405, 91406, 91411, 91423, 91436, 91601, 91602, 91604, 91605, 91606, 91607"
Louisville,KY,"40209, 40210, 40211, 40213, 40214, 40216, 40218, 40219, 40220, 40223, 40228, 40229, 40241, 40245, 40258, 40272, 40291, 40299"
Madison,WI,"53703, 53704, 53705, 53706, 53711, 53713, 53714, 53715, 53716, 53717, 53718, 53719, 53726"
Memphis,TN,"38016, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38111, 38112, 38114, 38115, 38116, 38117, 38118, 38119, 38120, 38122, 38125, 38126, 38127, 38128, 38131, 38132, 38133, 38134, 38141, 38152"
Miami,FL,"33101, 33125, 33126, 33127, 33128, 33129, 33130, 33131, 33132, 33133, 33135, 33136, 33137, 33138, 33142, 33144, 33145, 33150"
Milwaukee,WI,"53202, 53203, 53204, 53205, 53206, 53207, 53208, 53209, 53210, 53211, 53212, 53215, 53216, 53218, 53219, 53221, 53222, 53223, 53224, 53225, 53233, 53295"
Minneapolis,MN,"55401, 55402, 55403, 55404, 55405, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413, 55414, 55415, 55417, 55418, 55419, 55450, 55454, 55455"
Nashville,TN,"37201, 37203, 37204, 37205, 37206, 37207, 37208, 37209, 37210, 37211, 37212, 37213, 37214, 37215, 37216, 37217, 37218, 37219, 37220, 37221, 37228, 37240, 37243, 37246"
New Haven,CT,"06510, 06511, 06513, 06515, 06519"
New Orleans,LA,"70112, 70113, 70114, 70115, 70116, 70117, 70118, 70119, 70122, 70124, 70125, 70126, 70127, 70128, 70129, 70130, 70131, 70139, 70163"
New York,NY,"10020, 10044, 10110, 10111, 10112, 10115, 10119, 10152, 10153, 10154, 10162, 10165, 10167, 10168, 10169, 10170, 10171, 10172, 10173, 10174, 10177, 10199, 10271, 10278, 10279, 10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10312, 10314, 10451, 10452, 10453, 10454, 10455, 10456, 10457, 10458, 10459, 10460, 10461, 10462, 10463, 10464, 10465, 10466, 10467, 10468, 10469, 10470, 10471, 10472, 10473, 10474, 10475, 11004, 11005, 11101, 11102, 11103, 11104, 11105, 11106, 11109, 11201, 11203, 11204, 11205, 11206, 11207, 11208, 11209, 11210, 11211, 11212, 11213, 11214, 11215, 11216, 11217, 11218, 11219, 11220, 11221, 11222, 11223, 11224, 11225, 11226, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11354, 11355, 11356, 11357, 11358, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11368, 11369, 11370, 11372, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11411, 11412, 11413, 11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11427, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436, 11691, 11692, 11693, 11694, 11697"
Oklahoma City,OK,"73012, 73013, 73097, 73099, 73102, 73103, 73104, 73105, 73106, 73107, 73108, 73109, 73111, 73112, 73114, 73116, 73117, 73118, 73119, 73120, 73121, 73127, 73128, 73129, 73131, 73132, 73134, 73135, 73139, 73142, 73145, 73149, 73150, 73151, 73159, 73162, 73165, 73169, 73170, 73173, 73179, 74857"
Omaha,NE,"68102, 68104, 68105, 68106, 68107, 68108, 68110, 68111, 68112, 68114, 68116, 68117, 68118, 68122, 68124, 68127, 68130, 68131, 68132, 68134, 68135, 68137, 68144, 68152, 68154, 68164, 68178"
Orlando,FL,"32801, 32803, 32804, 32805, 32806, 32807, 32811, 32812, 32814, 32822, 32827, 32829, 32832, 32835"
Philadelphia,PA,"19102, 19103, 19104, 19106, 19107, 19109, 19111, 19112, 19114, 19115, 19116, 19118, 19119, 19120, 19121, 19122, 19123, 19124, 19125, 19126, 19127, 19128, 19129, 19130, 19131, 19132, 19133, 19134, 19135, 19136, 19137, 19138, 19139, 19140, 19141, 19142, 19143, 19144, 19145, 19146, 19147, 19148, 19149, 19150, 19151, 19152, 19153, 19154"
Phoenix,AZ,"85003, 85004, 85006, 85007, 85008, 85009, 85012, 85013, 85014, 85015, 85016, 85017, 85018, 85019, 85020, 85021, 85022, 85023, 85024, 85027, 85028, 85029, 85031, 85032, 85033, 85034, 85035, 85037, 85040, 85041, 85042, 85043, 85044, 85045, 85048, 85050, 85051, 85053, 85054, 85083, 85085, 85254, 85310, 85331, 85339, 85353"
Pittsburgh,PA,"15201, 15203, 15204, 15205, 15206, 15207, 15208, 15210, 15211, 15212, 15213, 15214, 15216, 15217, 15219, 15220, 15222, 15224, 15226, 15232, 15233, 15260, 15290"
Portland,OR,"97201, 97202, 97203, 97204, 97205, 97206, 97208, 97209, 97210, 97211, 97212, 97213, 97214, 97215, 97216, 97217, 97218, 97219, 97220, 97221, 97227, 97230, 97231, 97232, 97233, 97236, 97239, 97266"
Providence,RI,"02903, 02905, 02906, 02907, 02908, 02909, 02912"
Provo,UT,"84601, 84604, 84606"
